,node_a,node_b,time
151,36,113,1082662716
152,36,109,1082662740
153,79,109,1082663507
154,114,105,1082663676
155,101,115,1082663773
156,29,58,1082665970
157,87,58,1082666210
158,44,116,1082666706
159,44,117,1082667280
160,44,79,1082667839
161,80,58,1082668259
162,96,32,1082669430
163,118,100,1082670352
164,119,120,1082670688
165,120,75,1082670850
166,119,58,1082671048
167,118,120,1082671996
168,121,108,1082672486
169,44,92,1082673531
170,26,122,1082673946
171,1,123,1082676222
172,96,124,1082677446
173,125,126,1082677532
174,36,124,1082680998
175,36,127,1082681628
176,36,128,1082681679
177,44,129,1082682026
178,9,120,1082682332
179,124,109,1082683974
180,124,61,1082684222
181,124,72,1082684424
182,36,112,1082685268
183,124,85,1082685511
184,32,130,1082685691
185,124,8,1082686913
186,131,30,1082687241
187,99,126,1082688025
188,103,63,1082689042
189,103,117,1082689139
190,69,124,1082692204
191,69,79,1082692215
192,132,30,1082692234
193,36,99,1082692567
194,36,133,1082692612
195,36,134,1082692856
196,36,81,1082693082
197,103,135,1082693580
198,133,135,1082693664
199,9,109,1082697472
200,62,136,1082699464
201,137,138,1082701057
202,96,137,1082701256
203,19,120,1082701459
204,44,90,1082701470
205,19,139,1082701903
206,44,60,1082702454
207,44,88,1082702546
208,19,111,1082702679
209,9,32,1082702909
210,38,86,1082703540
211,140,105,1082703577
212,38,101,1082704766
213,103,101,1082705658
214,38,61,1082706733
215,38,81,1082706844
216,44,141,1082706986
217,44,74,1082707557
218,44,127,1082707684
219,124,135,1082709847
220,140,124,1082710212
221,105,58,1082711115
222,105,63,1082711129
223,105,135,1082711395
224,142,58,1082713344
225,143,32,1082713772
226,144,99,1082714081
227,144,105,1082714222
228,144,121,1082714356
229,103,109,1082715683
230,48,81,1082716717
231,95,81,1082716899
232,145,48,1082716941
233,95,63,1082716951
234,145,95,1082717081
235,95,109,1082717085
236,96,48,1082718139
237,96,95,1082718540
238,6,146,1082721036
239,44,105,1082741645
240,44,32,1082744110
241,36,147,1082746385
242,9,136,1082749051
243,9,148,1082749071
244,9,149,1082749129
245,9,150,1082749176
246,9,151,1082749262
247,9,152,1082749354
248,9,153,1082749374
249,9,135,1082749423
250,9,8,1082749542
251,9,154,1082749637
252,9,121,1082749757
253,1,135,1082750393
254,3,155,1082750637
255,3,58,1082751801
256,36,156,1082756670
257,101,51,1082758516
258,101,34,1082758745
259,36,73,1082760011
260,9,157,1082762898
261,19,158,1082763520
262,105,129,1082768355
263,1,159,1082768765
264,160,72,1082772499
265,129,8,1082773348
266,36,129,1082773829
267,161,162,1082778734
268,163,72,1082780126
269,32,164,1082781105
270,58,8,1082781852
271,41,120,1082782436
272,41,132,1082782472
273,41,165,1082782510
274,41,166,1082782545
275,41,157,1082782564
276,41,167,1082782610
277,41,168,1082782632
278,41,169,1082782648
279,41,134,1082782678
280,56,154,1082782821
281,56,170,1082782896
282,56,171,1082782914
283,56,172,1082782926
284,51,157,1082783365
285,8,164,1082784235
286,103,173,1082785151
287,67,154,1082785541
288,32,26,1082786041
289,96,163,1082787361
290,9,20,1082788102
291,9,165,1082788143
292,9,61,1082788304
293,32,155,1082789253
294,32,109,1082789317
295,32,174,1082789394
296,175,50,1082789421
297,103,85,1082789902
298,38,128,1082790887
299,19,109,1082791017
300,161,164,1082791166
301,38,109,1082791216
302,176,63,1082791356
303,161,63,1082791505
304,41,177,1082791770
305,164,178,1082791796
306,164,177,1082791813
307,32,175,1082791825
308,32,177,1082791841
309,164,179,1082791868
310,32,179,1082791920
311,96,164,1082792284
312,41,180,1082792771
313,180,177,1082793094
314,180,181,1082793170
315,180,182,1082793224
316,41,90,1082793327
317,183,184,1082793881
318,63,174,1082794679
319,63,155,1082795137
320,41,185,1082797151
321,185,147,1082797326
322,185,32,1082797493
323,186,185,1082797726
324,140,185,1082797734
325,103,177,1082798009
326,187,186,1082798153
327,185,97,1082798242
328,103,97,1082798277
329,41,186,1082798448
330,185,63,1082798706
331,103,188,1082799336
332,189,175,1082799344
333,185,109,1082799513
334,189,8,1082800356
335,41,86,1082800641
336,41,188,1082800924
337,101,190,1082802260
338,191,175,1082802278
339,103,192,1082802453
340,193,149,1082802716
341,193,190,1082802768
342,191,78,1082802803
343,190,109,1082802893
344,103,190,1082803315
345,41,192,1082804389
346,194,149,1082805529
347,194,195,1082805994
348,176,20,1082807759
349,176,61,1082807764
350,176,149,1082807780
351,176,120,1082807785
352,176,132,1082807790
353,176,86,1082807799
354,176,97,1082807823
355,176,72,1082807847
356,176,58,1082807851
357,176,8,1082807856
358,176,196,1082808059
359,176,197,1082808067
360,176,198,1082808071
361,176,199,1082808080
362,176,200,1082808084
363,176,190,1082808088
364,176,192,1082808093
365,176,201,1082808097
366,176,188,1082808101
367,176,202,1082808108
368,176,185,1082808113
369,176,203,1082808118
370,176,180,1082808131
371,176,181,1082808140
372,176,177,1082808145
373,176,184,1082808153
374,176,175,1082808160
375,176,166,1082808912
376,204,205,1082813713
377,204,104,1082813753
378,204,184,1082814036
379,189,144,1082814588
380,3,185,1082832584
381,3,32,1082833362
382,199,58,1082833487
383,63,199,1082833945
384,63,184,1082833992
385,199,101,1082834275
386,194,199,1082835672
387,194,206,1082835766
388,194,207,1082835825
389,204,123,1082836027
390,121,191,1082836177
391,204,129,1082836225
392,101,184,1082836277
393,101,208,1082836380
394,63,46,1082836457
395,101,88,1082838056
396,199,20,1082838963
397,103,132,1082839070
398,199,209,1082839321
399,103,210,1082839859
400,36,209,1082839951
401,199,210,1082840963
402,176,101,1082844137
403,68,101,1082844540
404,32,198,1082845340
405,211,101,1082846758
406,212,209,1082846766
407,211,213,1082847002
408,211,93,1082847025
409,211,85,1082847072
410,189,199,1082847398
411,214,215,1082848269
412,103,215,1082848352
413,103,82,1082848373
414,44,214,1082848393
415,103,168,1082848828
416,214,109,1082848843
417,215,67,1082848903
418,41,215,1082848944
419,41,216,1082848965
420,103,127,1082849042
421,215,62,1082849207
422,176,217,1082849417
423,176,216,1082849439
424,176,218,1082849598
425,219,124,1082850049
426,63,127,1082850584
427,103,56,1082851082
428,214,56,1082851233
429,51,215,1082851605
430,19,175,1082851882
431,19,215,1082852340
432,103,175,1082852800
433,214,175,1082853229
434,144,185,1082854319
435,220,214,1082854426
436,220,32,1082854527
437,144,32,1082854637
438,176,221,1082855702
439,103,98,1082856217
440,222,120,1082856866
441,41,222,1082856892
442,41,223,1082857909
443,41,97,1082858249
444,36,222,1082858527
445,36,221,1082858589
446,212,66,1082858779
447,96,224,1082859059
448,225,223,1082859852
449,36,214,1082859925
450,176,223,1082859948
451,176,226,1082859961
452,221,161,1082859979
453,44,226,1082860239
454,204,221,1082862650
455,227,26,1082862781
456,211,228,1082863494
457,214,101,1082864167
458,229,230,1082864976
459,96,231,1082865360
460,96,232,1082865421
461,103,221,1082865495
462,103,20,1082865816
463,103,86,1082865878
464,103,66,1082866401
465,103,185,1082867307
466,212,6,1082867532
467,103,8,1082867874
468,63,202,1082867948
469,103,93,1082868321
470,9,233,1082870312
471,103,233,1082870381
472,9,97,1082870627
473,9,190,1082870736
474,166,234,1082872216
475,69,34,1082872324
476,235,191,1082872392
477,69,185,1082872623
478,3,132,1082874803
479,1,30,1082875165
480,41,173,1082875666
481,103,166,1082876439
482,63,92,1082878073
483,97,228,1082878605
484,191,136,1082881208
485,191,236,1082882528
486,32,237,1082882709
487,9,235,1082882811
488,97,191,1082882893
489,176,233,1082883506
490,9,101,1082883520
491,48,52,1082883809
492,48,175,1082883835
493,9,177,1082884190
494,9,175,1082884244
495,41,174,1082884650
496,12,175,1082885499
497,12,168,1082885702
498,12,81,1082885824
499,88,220,1082886688
500,9,209,1082887307
501,103,52,1082887532
502,220,48,1082888339
503,144,222,1082888725
504,144,195,1082889149
505,191,237,1082889202
506,220,95,1082889542
507,95,168,1082889561
508,144,88,1082889910
509,144,238,1082890036
510,239,175,1082890119
511,144,240,1082890169
512,239,236,1082890272
513,12,90,1082890594
514,144,23,1082890722
515,144,48,1082891974
516,9,144,1082893416
517,144,241,1082894381
518,103,144,1082894822
519,9,216,1082896466
520,194,242,1082898211
521,194,209,1082898359
522,194,182,1082898422
523,32,243,1082917027
524,204,241,1082920909
525,227,144,1082922014
526,9,244,1082929648
527,245,191,1082929848
528,211,246,1082932673
529,233,88,1082933693
530,34,242,1082933989
531,19,233,1082934223
532,143,95,1082935814
533,32,88,1082936843
534,211,233,1082937060
535,247,248,1082937885
536,176,248,1082938175
537,211,232,1082939235
538,249,63,1082940059
539,41,250,1082940866
540,41,248,1082940869
541,41,251,1082940883
542,51,86,1082944567
543,212,252,1082944891
544,212,34,1082945287
545,144,247,1082946205
546,204,51,1082946226
547,53,253,1082948735
548,9,251,1082948778
549,44,48,1082951267
550,254,8,1082951480
551,1,255,1082953823
552,103,256,1082955438
553,204,257,1082956140
554,258,76,1082956655
555,259,260,1082957380
556,261,256,1082957450
557,204,81,1082957673
558,259,256,1082957765
559,51,260,1082957918
560,204,262,1082958047
561,103,260,1082958123
562,263,254,1082958138
563,41,256,1082958864
564,36,254,1082958907
565,264,158,1082959529
566,6,122,1082959563
567,36,6,1082960026
568,41,265,1082960053
569,96,6,1082960820
570,204,48,1082960943
571,211,251,1082961570
572,204,266,1082961699
573,267,260,1082961748
574,267,256,1082961772
575,12,260,1082961879
576,263,191,1082961929
577,12,101,1082962022
578,51,267,1082962531
579,268,149,1082962676
580,140,6,1082963954
581,103,267,1082963990
582,69,254,1082964096
583,212,48,1082964379
584,176,269,1082964847
585,19,265,1082965192
586,212,254,1082965685
587,176,270,1082966014
588,176,267,1082966042
589,69,271,1082966219
590,272,273,1082966813
591,48,256,1082966852
592,274,48,1082967168
593,144,260,1082967605
594,103,265,1082967629
595,263,222,1082967817
596,198,256,1082967828
597,103,270,1082967931
598,176,256,1082968126
599,263,239,1082968223
600,103,228,1082968955
601,101,271,1082969403
602,275,20,1082969709
603,276,8,1082969738
604,263,277,1082969961
605,140,278,1082970440
606,127,260,1082971101
607,199,279,1082971533
608,199,260,1082971702
609,41,101,1082972294
610,41,280,1082972502
611,281,254,1082972822
612,282,34,1082973381
613,277,68,1082973381
614,176,283,1082973436
615,176,284,1082974060
616,220,271,1082974197
617,41,270,1082974249
618,220,67,1082974303
619,67,256,1082974526
620,36,285,1082974655
621,286,221,1082974992
622,101,32,1082976041
623,189,132,1082977240
624,220,221,1082977423
625,221,3,1082979630
626,181,177,1082979788
627,181,260,1082980205
628,260,287,1082980899
629,51,288,1082997707
630,79,166,1083002711
631,79,256,1083002837
632,79,260,1083002917
633,204,68,1083003469
634,289,135,1083003485
635,204,79,1083003512
636,204,276,1083003577
637,204,271,1083003597
638,44,290,1083004997
639,27,221,1083006622
640,291,292,1083007282
641,69,293,1083007302
642,69,104,1083007346
643,9,260,1083008168
644,114,124,1083008385
645,63,290,1083010200
646,32,291,1083010857
647,36,236,1083011025
648,36,291,1083011135
649,51,294,1083011411
650,211,260,1083016196
651,295,296,1083016814
652,211,288,1083017192
653,211,284,1083017242
654,204,288,1083017268
655,204,284,1083017396
656,6,221,1083017914
657,297,191,1083018944
658,70,124,1083019152
659,53,291,1083021844
660,204,298,1083022164
661,289,220,1083023948
662,211,265,1083024166
663,221,211,1083025931
664,277,34,1083026255
665,277,299,1083026942
666,300,52,1083027132
667,212,67,1083028007
668,277,50,1083028488
669,204,181,1083029386
670,184,32,1083030012
671,193,233,1083030013
672,301,63,1083030317
673,289,8,1083030664
674,9,299,1083030944
675,6,88,1083031058
676,302,138,1083031145
677,303,294,1083033278
678,205,304,1083034095
679,155,8,1083034587
680,277,252,1083035131
681,212,211,1083035238
682,288,50,1083036046
683,143,67,1083036825
684,212,228,1083037271
685,228,121,1083037809
686,67,164,1083037958
687,67,132,1083038046
688,228,61,1083038176
689,228,304,1083038352
690,305,306,1083038413
691,67,172,1083039126
692,277,172,1083039328
693,209,299,1083039452
694,67,175,1083039858
695,307,6,1083040579
696,307,51,1083040803
697,6,299,1083040855
698,277,51,1083041045
699,277,79,1083041256
700,281,308,1083041513
701,193,302,1083041702
702,307,67,1083042068
703,281,302,1083042070
704,60,308,1083042284
705,309,175,1083042328
706,310,72,1083042558
707,189,302,1083042906
708,277,184,1083043025
709,36,211,1083045130
710,303,212,1083045343
711,36,155,1083045391
712,193,311,1083045481
713,36,34,1083045621
714,194,296,1083045631
715,211,128,1083045796
716,296,63,1083046108
717,194,312,1083046371
718,128,51,1083046587
719,194,132,1083046681
720,248,283,1083046991
721,128,236,1083047094
722,263,308,1083047186
723,36,299,1083047287
724,19,302,1083047289
725,103,299,1083047721
726,313,228,1083047914
727,314,308,1083048108
728,277,191,1083048142
729,212,51,1083048203
730,263,311,1083048584
731,193,280,1083049022
732,314,254,1083049150
733,303,298,1083049431
734,263,315,1083049439
735,263,316,1083049459
736,51,59,1083049532
737,314,51,1083049663
738,314,34,1083049674
739,308,315,1083049856
740,9,315,1083049863
741,9,316,1083049878
742,317,315,1083049918
743,318,124,1083049958
744,286,34,1083050138
745,314,48,1083050322
746,318,34,1083050385
747,176,311,1083051145
748,176,306,1083051214
749,176,299,1083051243
750,176,319,1083051270
751,176,300,1083051310
752,144,193,1083051361
753,282,67,1083051363
754,176,315,1083051369
755,176,316,1083051374
756,297,34,1083051657
757,289,212,1083051760
758,297,88,1083051797
759,254,308,1083051851
760,83,313,1083051910
761,103,318,1083051932
762,144,288,1083052138
763,214,154,1083052157
764,94,320,1083052599
765,282,214,1083052599
766,194,88,1083052853
767,144,290,1083053076
768,27,194,1083053076
769,176,32,1083053336
770,44,99,1083053358
771,144,51,1083053606
772,228,315,1083053834
773,321,144,1083054061
774,41,184,1083054375
775,193,315,1083054480
776,9,132,1083054686
777,144,322,1083054880
778,281,323,1083055126
779,95,52,1083055317
780,103,324,1083055543
781,176,324,1083055752
782,297,325,1083055773
783,44,299,1083055886
784,51,324,1083056097
785,78,326,1083056161
786,281,144,1083056320
787,67,63,1083056419
788,34,324,1083056627
789,323,34,1083056649
790,307,325,1083056894
791,319,34,1083057168
792,319,325,1083057193
793,34,88,1083057207
794,204,327,1083057433
795,52,328,1083057875
796,324,329,1083057936
797,62,78,1083057988
798,72,291,1083058126
799,9,294,1083058318
800,9,318,1083058393
801,128,329,1083058456
802,9,78,1083058474
803,38,52,1083058505
804,9,52,1083058560
805,9,330,1083058672
806,51,52,1083058686
807,9,86,1083058711
808,51,331,1083058818
809,38,288,1083058828
810,332,333,1083058843
811,9,262,1083058949
812,9,288,1083059152
813,12,288,1083059364
814,62,260,1083059388
815,128,324,1083059426
816,313,78,1083059560
817,303,316,1083059728
818,67,90,1083059898
819,334,128,1083059967
820,335,34,1083060072
821,9,282,1083060512
822,333,319,1083060587
823,332,281,1083060704
824,336,315,1083060928
825,336,333,1083061234
826,308,333,1083061262
827,36,189,1083061558
828,333,329,1083061635
829,323,333,1083061805
830,36,75,1083061851
831,128,221,1083061923
832,103,316,1083061923
833,41,308,1083061972
834,337,281,1083062166
835,34,313,1083062191
836,337,260,1083062215
837,308,311,1083063152
838,9,308,1083063636
839,338,260,1083063738
840,254,311,1083063783
841,191,315,1083064139
842,103,311,1083064183
843,335,191,1083064183
844,311,50,1083064218
845,34,311,1083064271
846,9,311,1083064366
847,204,339,1083064944
848,53,34,1083066192
849,53,340,1083066211
850,53,308,1083066921
851,53,305,1083067015
852,53,341,1083067059
853,48,311,1083067491
854,338,319,1083067955
855,342,260,1083084866
856,317,311,1083091492
857,97,338,1083092071
858,34,343,1083092897
859,34,299,1083093126
860,344,209,1083093802
861,32,8,1083093823
862,47,78,1083094295
863,345,56,1083094714
864,345,318,1083094824
865,63,32,1083097060
866,44,34,1083099910
867,332,308,1083101060
868,277,6,1083101610
869,53,346,1083102130
870,314,333,1083103443
871,235,347,1083103578
872,314,228,1083103631
873,338,348,1083103804
874,314,95,1083103809
875,349,8,1083104084
876,349,319,1083104496
877,317,308,1083104612
878,44,308,1083104962
879,317,263,1083106081
880,191,347,1083107133
881,317,254,1083107261
882,337,254,1083108005
883,317,191,1083108586
884,254,302,1083108728
885,263,281,1083109025
886,272,263,1083109086
887,317,281,1083111406
888,27,184,1083112125
889,212,263,1083113199
890,350,6,1083114319
891,351,299,1083114475
892,350,299,1083114639
893,239,349,1083115099
894,263,352,1083115356
895,353,254,1083115808
896,103,134,1083115870
897,317,319,1083116285
898,281,352,1083116783
899,62,354,1083117117
900,316,355,1083117394
901,316,281,1083117490
902,103,353,1083117970
903,272,316,1083118315
904,99,349,1083119116
905,172,128,1083119324
906,321,233,1083119427
907,6,252,1083119900
908,3,51,1083120835
909,356,63,1083121409
910,357,358,1083122396
911,32,263,1083122477
912,289,359,1083122681
913,69,349,1083123209
914,69,155,1083123217
915,289,86,1083123926
916,323,340,1083124107
917,332,263,1083124339
918,3,308,1083124835
919,12,360,1083125878
920,235,263,1083126449
921,357,128,1083128724
922,357,175,1083128819
923,60,194,1083129305
924,103,314,1083130095
925,103,360,1083130334
926,103,158,1083130437
927,12,316,1083131167
928,332,316,1083131203
929,308,337,1083132247
930,131,297,1083133383
931,323,102,1083133785
932,323,191,1083133846
933,323,88,1083135153
934,307,48,1083135577
935,63,74,1083135684
936,209,242,1083135954
937,266,50,1083136067
938,316,308,1083136498
939,349,297,1083136578
940,272,260,1083136970
941,297,248,1083137013
942,294,339,1083137261
943,124,323,1083137742
944,349,97,1083137749
945,277,308,1083138279
946,277,361,1083138354
947,277,362,1083138524
948,97,316,1083138532
949,344,128,1083138597
950,363,364,1083138653
951,307,281,1083139730
952,307,254,1083139925
953,334,364,1083139926
954,212,88,1083139956
955,75,313,1083140095
956,209,365,1083140178
957,323,75,1083140220
958,19,331,1083140395
959,19,365,1083140542
960,212,75,1083140553
961,88,358,1083141673
962,72,337,1083141737
963,9,366,1083141867
964,9,358,1083141913
965,212,224,1083142078
966,286,367,1083142193
967,286,202,1083142568
968,368,367,1083142794
969,36,361,1083143010
970,9,212,1083143604
971,368,288,1083143729
972,327,144,1083143813
973,97,327,1083144424
974,144,142,1083144518
975,144,369,1083144841
976,212,74,1083144891
977,144,370,1083144904
978,371,306,1083144947
979,144,359,1083144977
980,323,372,1083145100
981,144,283,1083145535
982,373,308,1083146660
983,338,144,1083146817
984,248,374,1083146867
985,372,242,1083147394
986,103,375,1083147394
987,103,365,1083147541
988,44,174,1083147556
989,44,373,1083147626
990,368,340,1083147683
991,95,365,1083147693
992,44,372,1083147763
993,372,368,1083147779
994,9,371,1083148055
995,44,365,1083148067
996,9,368,1083148197
997,372,371,1083148231
998,372,375,1083148414
999,372,376,1083148965
1000,376,377,1083149099
1001,335,72,1083149193
1002,335,155,1083149427
1003,335,88,1083149664
1004,103,378,1083149875
1005,176,374,1083150228
1006,248,375,1083150520
1007,335,368,1083150769
1008,379,349,1083150819
1009,332,352,1083150975
1010,335,98,1083151115
1011,41,380,1083151332
1012,41,371,1083151398
1013,335,50,1083151412
1014,41,381,1083151428
1015,335,365,1083151479
1016,41,382,1083151499
1017,41,343,1083151551
1018,41,383,1083151668
1019,368,194,1083152391
1020,368,236,1083152743
1021,368,322,1083152810
1022,368,309,1083155520
1023,62,102,1083159370
1024,62,347,1083159981
1025,176,378,1083161080
1026,32,378,1083167893
1027,189,358,1083170282
1028,300,384,1083172926
1029,41,300,1083172988
1030,41,325,1083173033
1031,372,97,1083173714
1032,1,146,1083174345
1033,1,101,1083174402
1034,1,211,1083174521
1035,70,385,1083175465
1036,321,154,1083177133
1037,79,365,1083179870
1038,79,386,1083179953
1039,386,50,1083180464
1040,386,260,1083180544
1041,376,50,1083180920
1042,386,387,1083181258
1043,30,72,1083181776
1044,277,376,1083182225
1045,376,191,1083184016
1046,212,376,1083184122
1047,371,377,1083184313
1048,311,365,1083184703
1049,388,306,1083185425
1050,189,349,1083185555
1051,34,365,1083187220
1052,254,378,1083188047
1053,345,361,1083188074
1054,345,346,1083188134
1055,204,374,1083188823
1056,145,88,1083190253
1057,389,254,1083191069
1058,63,337,1083191088
1059,63,193,1083191103
1060,212,388,1083191372
1061,263,378,1083191460
1062,390,316,1083192012
1063,391,349,1083192242
1064,392,383,1083193545
1065,319,337,1083194130
1066,393,394,1083194576
1067,395,8,1083194665
1068,393,263,1083194781
1069,396,378,1083194882
1070,176,396,1083195002
1071,386,343,1083195163
1072,9,391,1083195250
1073,9,386,1083195490
1074,289,392,1083195745
1075,41,391,1083195881
1076,289,375,1083195924
1077,289,371,1083195978
1078,289,391,1083196240
1079,321,359,1083197634
1080,283,260,1083197654
1081,254,396,1083197850
1082,62,371,1083198015
1083,1,397,1083198125
1084,321,396,1083198244
1085,357,396,1083198681
1086,357,378,1083198814
1087,220,373,1083199026
1088,220,308,1083199076
1089,220,224,1083199086
1090,220,62,1083199210
1091,220,254,1083199308
1092,204,294,1083199905
1093,32,396,1083200013
1094,398,209,1083200184
1095,399,396,1083200817
1096,145,263,1083200895
1097,399,364,1083201297
1098,399,382,1083201592
1099,209,396,1083201641
1100,399,126,1083201663
1101,399,299,1083201731
1102,399,375,1083201937
1103,399,59,1083202181
1104,399,386,1083202606
1105,399,76,1083202747
1106,398,378,1083202937
1107,400,32,1083202966
1108,74,379,1083202985
1109,74,396,1083203084
1110,74,378,1083203199
1111,399,365,1083203203
1112,399,311,1083203733
1113,399,149,1083204152
1114,228,392,1083205140
1115,400,396,1083206226
1116,36,296,1083206638
1117,36,401,1083206976
1118,12,402,1083207078
1119,310,97,1083209459
1120,403,8,1083209696
1121,9,88,1083209949
1122,9,34,1083209974
1123,402,281,1083210040
1124,303,389,1083211125
1125,44,242,1083211146
1126,176,263,1083211462
1127,393,191,1083211543
1128,191,396,1083211552
1129,400,323,1083211820
1130,41,263,1083212068
1131,6,404,1083212843
1132,212,394,1083212880
1133,398,405,1083213365
1134,191,405,1083214153
1135,314,281,1083214560
1136,194,406,1083214602
1137,103,396,1083214605
1138,6,378,1083214688
1139,103,405,1083214769
1140,389,62,1083214871
1141,41,407,1083215561
1142,9,405,1083215575
1143,404,132,1083215706
1144,297,62,1083216191
1145,103,393,1083216541
1146,74,408,1083217055
1147,409,50,1083217598
1148,201,410,1083217655
1149,201,52,1083217783
1150,214,396,1083217837
1151,41,396,1083217877
1152,103,371,1083217978
1153,308,32,1083218884
1154,344,403,1083219067
1155,27,406,1083220177
1156,297,272,1083220344
1157,263,405,1083220671
1158,38,365,1083221365
1159,368,394,1083221685
1160,3,88,1083221936
1161,321,411,1083222059
1162,321,412,1083222336
1163,307,368,1083222429
1164,103,344,1083222577
1165,172,344,1083222617
1166,9,411,1083222672
1167,372,389,1083222749
1168,372,407,1083222817
1169,409,263,1083222839
1170,6,413,1083222937
1171,321,405,1083222990
1172,212,413,1083223010
1173,131,393,1083223044
1174,131,191,1083223195
1175,321,344,1083223298
1176,27,414,1083223333
1177,38,405,1083223357
1178,38,175,1083223474
1179,415,329,1083223534
1180,414,396,1083223586
1181,83,368,1083223844
1182,325,344,1083224233
1183,321,389,1083224328
1184,69,6,1083224349
1185,103,343,1083224372
1186,69,403,1083224483
1187,38,177,1083224606
1188,325,378,1083224673
1189,321,177,1083224695
1190,321,72,1083224778
1191,416,212,1083225060
1192,325,6,1083225437
1193,212,387,1083225461
1194,67,410,1083225813
1195,303,6,1083225849
1196,357,343,1083225937
1197,67,396,1083225965
1198,277,417,1083226006
1199,357,405,1083226021
1200,357,393,1083226123
1201,67,378,1083226128
1202,357,63,1083226171
1203,357,389,1083226361
1204,69,418,1083226522
1205,323,413,1083227096
1206,96,74,1083227291
1207,323,337,1083227468
1208,321,311,1083227747
1209,323,356,1083227754
1210,376,6,1083227829
1211,69,75,1083227852
1212,19,396,1083227879
1213,289,419,1083228130
1214,335,278,1083228229
1215,19,419,1083228508
1216,249,8,1083228548
1217,321,52,1083228706
1218,44,19,1083228764
1219,335,6,1083228826
1220,74,419,1083229006
1221,398,368,1083229108
1222,51,419,1083229110
1223,228,311,1083229207
1224,323,367,1083230229
1225,19,420,1083230262
1226,323,421,1083230378
1227,398,6,1083230544
1228,368,294,1083230602
1229,335,263,1083230692
1230,145,281,1083230757
1231,422,212,1083230975
1232,294,288,1083231114
1233,372,212,1083231587
1234,335,373,1083231710
1235,372,72,1083231816
1236,340,56,1083231912
1237,372,311,1083231982
1238,372,233,1083232030
1239,335,174,1083232143
1240,423,410,1083232434
1241,335,115,1083232713
1242,335,60,1083232817
1243,228,378,1083233001
1244,41,419,1083233052
1245,69,373,1083233104
1246,373,311,1083233107
1247,176,419,1083233152
